Sector,Date,TOTAL_SCORE,Bull_Prob_Raw,Volume_Z,Open,High,Low,Close,Volume_Metric,Fit_Type,ACTION,Position_Size,Market_Score,Market_Regime,Market_Source,Strategy,Threshold_Buy,Threshold_Sell,Excess_Prob,Rotation_Status,Dispersion
有色金属,2025-07-03,0.7592988656555286,0.8259092887847082,0.315683,156.901,157.647,157.647,157.647,0.315683,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.7571553298080123,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,0.0021435358475163646,MODERATE ROTATION,0.2842195314929492
能源,2025-07-03,0.8745361819318332,0.9090024993377848,-0.765156,126.619,126.067,126.067,126.067,-0.765156,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.7571553298080123,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,0.11738085212382099,MODERATE ROTATION,0.2842195314929492
机器人,2025-07-03,0.27083545489246275,0.27878118966164916,-1.01425,119.008,119.505,119.505,119.505,-1.01425,Full (Ret+Vol+Var),🔴 AVOID,0.0,0.7571553298080123,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,-0.4863198749155495,MODERATE ROTATION,0.2842195314929492
专业设备制造,2025-07-03,0.7344935421573011,0.7770138115605311,-0.713932,138.202,137.392,137.392,137.392,-0.713932,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.7571553298080123,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,-0.02266178765071114,MODERATE ROTATION,0.2842195314929492
银行,2025-07-04,1.0,0.9990275771721073,0.600001,173.227,175.654,175.654,175.654,0.600001,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.832017911166531,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.9368898055826169,0.5824835555123139,0.167982088833469,MODERATE ROTATION,0.3122548443625004
非银金融,2025-07-04,1.0,0.9722777365303858,1.05858,153.004,154.191,154.191,154.191,1.05858,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.832017911166531,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.9368898055826169,0.5824835555123139,0.167982088833469,MODERATE ROTATION,0.3122548443625004
半导体设计,2025-07-04,0.1147467877025998,0.08739324027776318,-0.642869,180.802,179.917,179.917,179.917,-0.642869,Full (Ret+Vol+Var),🔴 AVOID,0.0,0.832017911166531,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.9368898055826169,0.5824835555123139,-0.7172711234639312,MODERATE ROTATION,0.3122548443625004
半导体制造,2025-07-04,0.12722284019202265,0.22722284019202266,-0.418271,154.247,153.57,153.57,153.57,-0.418271,Full (Ret+Vol+Var),🔴 AVOID,0.0,0.832017911166531,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.9368898055826169,0.5824835555123139,-0.7047950709745083,MODERATE ROTATION,0.3122548443625004
半导体设备,2025-07-04,0.7023559944718929,0.6691326855458033,0.413425,147.14,149.942,149.942,149.942,0.413425,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.832017911166531,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.9368898055826169,0.5824835555123139,-0.1296619166946381,MODERATE ROTATION,0.3122548443625004
半导体材料,2025-07-04,0.9755467463894416,0.9766071438742251,-0.0382269,127.923,127.423,127.423,127.423,-0.0382269,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.832017911166531,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.9368898055826169,0.5824835555123139,0.1435288352229106,MODERATE ROTATION,0.3122548443625004
