index,Sector,RS_Score,Reversal_Score,Trend_Score,ATR_Score,Contra_Vol_Score,LT_Filter,TOTAL_SCORE,ACTION,Open,High,Low,Close,Volume_Metric,Date
4,软件,0.0,0.0,0.2,0.9,0.0,-3.0,-1.954313508441557,RED (EXIT/AVOID),128.16506443328876,131.38991799009187,127.75656852880395,130.8003112403968,-0.2957840725856498,2025-07-08
5,光模块中游,2.0,0.0,1.0,0.0,0.0,0.0,3.0,YELLOW (WATCH/HOLD),168.8030098194838,181.6190302794536,166.24713675057123,179.92264269792477,1.293873886278808,2025-07-08
6,军工电子,2.0,0.0,1.0,0.8,0.0,0.0,3.838324865046275,YELLOW (WATCH/HOLD),169.90153831011122,172.6185598341729,168.68110783743626,171.60614604815342,-0.2533473142041743,2025-07-08
7,家用电器,0.0,0.0,-0.1,0.9,2.0,-3.0,-0.18960561073550153,RED (EXIT/AVOID),137.996785074385,138.7599168370436,137.05356345953427,137.43182591598205,0.051208175938862066,2025-07-08
8,电力,0.0,0.0,-0.1,0.9,2.0,0.0,2.8664739745394394,RED (EXIT/AVOID),125.56150380345692,125.60562906307342,124.04045765208896,124.44123276041219,-0.04566233547800058,2025-07-08
9,白酒,0.0,0.0,-0.3,1.0,0.0,-3.0,-2.2540433340832973,RED (EXIT/AVOID),76.25502790521615,77.25797073880578,76.10913658274899,77.12018762554696,-0.29133781138989717,2025-07-08
10,电网设备,0.0,0.0,0.3,0.0,0.0,0.0,0.28462588480938883,RED (EXIT/AVOID),121.04322016942723,124.06553719249241,120.08172594945178,123.0423510355626,1.2968126227957792,2025-07-08
11,电池,2.0,0.0,0.8,0.0,0.0,0.0,2.755947010647018,RED (EXIT/AVOID),138.31085756125015,140.8880524528048,137.7254235136233,139.71525878248423,0.06036745690179306,2025-07-08
12,整车,0.0,0.0,-0.0,1.0,2.0,-3.0,-0.06167079922484309,RED (EXIT/AVOID),111.26224468616701,112.20793111173163,110.76388218815676,111.81533520188007,-0.598723514420348,2025-07-08
13,能源,0.0,0.0,0.0,1.0,0.0,0.0,0.992110565673314,RED (EXIT/AVOID),118.38791967462817,119.20801521189657,117.8436142192535,118.71401813748244,-0.5756091366726684,2025-07-08
0,MARKET_PROXY,0.0,0.0,0.8,0.0,0.0,0.0,0.7587679268074217,RED (EXIT/AVOID),177.45632212953188,179.76659738272477,175.60944098103607,176.9405939280268,0.11049957873387174,2025-07-09
1,银行,2.0,0.0,0.6,0.0,0.0,0.0,2.5860184186962285,RED (EXIT/AVOID),173.07060141559728,176.73437581980104,172.84256090733143,175.1229659899898,-0.3189475316907751,2025-07-09
2,非银金融,0.0,0.0,0.4,0.8,0.0,0.0,1.1973825164364809,RED (EXIT/AVOID),151.77104564232604,152.68474916721138,149.60910848230046,149.71730785785792,-0.13940497297597415,2025-07-09
3,半导体,0.0,0.0,0.0,0.9,2.0,-3.0,-0.0667605717107671,RED (EXIT/AVOID),211.43741413604968,212.60936738736234,208.26198883846098,208.87477795002408,-0.6057630358386156,2025-07-09
4,软件,0.0,0.0,0.2,0.9,2.0,-3.0,0.07099742487552696,RED (EXIT/AVOID),131.0280920628449,132.45302873270026,129.60538914645838,130.29877962702255,-0.3811063252938601,2025-07-09
5,光模块中游,2.0,0.0,1.0,0.0,0.0,0.0,3.0,YELLOW (WATCH/HOLD),179.63717706886388,184.92603373766212,177.70428714551846,181.53759206917744,0.421497658410305,2025-07-09
6,军工电子,2.0,0.0,1.0,0.9,0.0,0.0,3.8592632761725936,YELLOW (WATCH/HOLD),171.83309997514473,175.37218947111282,170.5158347451068,171.8451673508425,-0.17627110829650497,2025-07-09
7,家用电器,0.0,0.0,-0.1,0.9,0.0,-3.0,-2.2088821085456054,RED (EXIT/AVOID),137.617661638575,138.53770595966685,136.03428780633564,136.5079387123505,0.4788971986864952,2025-07-09
8,电力,0.0,0.0,-0.1,0.9,2.0,0.0,2.870342015960669,RED (EXIT/AVOID),124.41110882370172,125.33621800745284,124.0343905444099,124.47854586503453,-0.1640111211347645,2025-07-09
9,白酒,0.0,0.0,-0.2,0.9,0.0,-3.0,-2.261363390920416,RED (EXIT/AVOID),77.09802760144476,78.83080904422945,76.94450138884268,77.71994167165924,0.6888893814372177,2025-07-09
10,电网设备,0.0,0.0,0.3,0.0,0.0,0.0,0.30990340593831955,RED (EXIT/AVOID),122.9662196418331,123.95549515698956,121.6985426283389,122.19592563070817,0.2963529644024802,2025-07-09
11,电池,2.0,0.0,0.7,0.0,0.0,0.0,2.7036590292575657,RED (EXIT/AVOID),139.6726744810983,142.93771206620397,138.07732717934837,139.85431853983508,0.47624673088027325,2025-07-09
12,整车,0.0,0.0,-0.0,1.0,2.0,-3.0,-0.02727192830007752,RED (EXIT/AVOID),111.78651090792353,112.51564174110476,111.21632696450989,111.35163830975485,-0.3908820018701803,2025-07-09
13,能源,0.0,0.0,0.0,0.9,0.0,0.0,0.9639254835039666,RED (EXIT/AVOID),118.8743473621841,120.31473705225618,118.41663558945896,119.03367128859037,-0.10084162310868457,2025-07-09
0,MARKET_PROXY,0.0,0.0,0.8,0.0,0.0,0.0,0.7621138356554797,RED (EXIT/AVOID),177.64973973986716,180.58361251862797,175.3076300664896,178.14634168085226,0.7875224925707517,2025-07-10
1,银行,2.0,0.0,0.6,0.0,0.0,0.0,2.6443287690681947,RED (EXIT/AVOID),175.54417546875172,179.50905419160014,175.33113469699464,178.16619149693574,1.0850183798591724,2025-07-10
2,非银金融,0.0,0.0,0.4,0.0,0.0,0.0,0.3890923354199325,RED (EXIT/AVOID),149.80182727546747,153.22975716701254,149.5132153265087,151.958947485819,0.8420167483133852,2025-07-10
3,半导体,0.0,0.0,-0.0,0.9,2.0,-3.0,-0.0790054825693618,RED (EXIT/AVOID),208.42999596409382,209.87203542136862,205.94466388443132,207.6520460061112,-0.29929155233880955,2025-07-10
4,软件,0.0,0.0,0.2,0.9,2.0,-3.0,0.07589001398650463,RED (EXIT/AVOID),129.84201607597464,131.9243205489585,128.77708525772104,130.353245349714,-0.22437068807273888,2025-07-10
5,光模块中游,2.0,0.0,1.0,0.0,0.0,0.0,3.0,YELLOW (WATCH/HOLD),184.32597912312693,191.26986803729403,180.7947328408054,187.32446644897377,0.6830997722269564,2025-07-10
6,军工电子,2.0,0.0,1.0,0.9,0.0,0.0,3.8207279699279777,YELLOW (WATCH/HOLD),170.4454315804956,173.2664141449713,167.48076522703394,171.05304285593812,0.27648407616328474,2025-07-10
7,家用电器,0.0,0.0,-0.1,0.9,0.0,-3.0,-2.1617916580641863,RED (EXIT/AVOID),136.6216150715659,137.23559669260288,135.80170631328966,136.37736766603769,-0.2958913651705975,2025-07-10
8,电力,0.0,0.0,-0.1,0.9,2.0,0.0,2.869597826396951,RED (EXIT/AVOID),124.57395108727071,124.89977257279524,123.68768262568626,123.90973932567128,-0.20479500805610043,2025-07-10
9,白酒,0.0,0.0,-0.1,0.9,0.0,-3.0,-2.219805036455811,RED (EXIT/AVOID),77.53460055158786,78.74209795865139,77.13102043501266,78.34246745626858,0.3401568312908669,2025-07-10
10,电网设备,0.0,0.0,0.3,0.0,0.0,0.0,0.3288869823927639,RED (EXIT/AVOID),122.22437396767634,123.87162298183007,121.41874321236688,122.44082555656578,0.5304073414693481,2025-07-10
11,电池,2.0,0.0,0.6,0.8,0.0,0.0,3.4687441317793533,YELLOW (WATCH/HOLD),139.71864982338636,141.48412128246758,138.11797893100007,139.70384765073942,0.07902217599105378,2025-07-10
12,整车,0.0,0.0,-0.0,1.0,2.0,-3.0,-0.02530550809309151,RED (EXIT/AVOID),111.33280649251182,111.82998716023279,110.27573865876441,110.83738064981891,-0.14124160305828287,2025-07-10
13,能源,0.0,0.0,0.1,0.8,0.0,0.0,0.9200308276081687,RED (EXIT/AVOID),119.57130143324191,121.88980913872976,119.40825270046085,121.01172974200026,1.309931913252177,2025-07-10
0,MARKET_PROXY,2.0,0.0,0.7,0.0,0.0,0.0,2.7454110451388805,RED (EXIT/AVOID),178.12100879417872,180.70832499935764,176.37672680943948,177.81659625053433,0.9020359521312055,2025-07-11
1,银行,2.0,0.0,0.7,0.0,0.0,0.0,2.6563959245662367,RED (EXIT/AVOID),178.82894483563197,183.06932069449243,176.5531600063071,177.02375216557002,3.2752571922503324,2025-07-11
2,非银金融,0.0,0.0,0.4,0.0,0.0,0.0,0.4120689804658564,RED (EXIT/AVOID),152.08643186765582,157.36013329056286,151.66995696789357,153.62463570936055,2.7648755100008118,2025-07-11
3,半导体,0.0,0.0,0.0,0.8,2.0,-3.0,-0.14438809516091666,RED (EXIT/AVOID),207.59169868080136,216.40607050015086,206.91191374209356,214.0242209468363,0.459198868013322,2025-07-11
